Question,Equation,Answer,Numbers
"Cody bought N_00 boxes of chocolate candy and N_01 boxes of caramel candy . If each box has N_02 pieces inside it , how much candy did he have total ?",N_02 * ( N_00 + N_01 ),80.0,7.0 3.0 8.0
Priya needs N_00 cupcakes for a birthday party . She already has N_01 chocolate cupcakes and N_02 vanilla cupcakes . How many more cupcakes should Priya buy ?,N_00 - ( N_01 + N_02 ),14.0,54.0 15.0 25.0
"A neighborhood grocer sells a mix of chocolate and carob candy . The chocolate cost N_00 dollars a pound and the carob costs N_01 dollars a pound . If N_02 pounds of the chocolate and N_03 pounds of the carob candy are used , what is the cost per pound of the mixture in dollars ?",( N_00 * N_02 + N_01 * N_03 ) / ( N_02 + N_03 ),2.6,2.7 2.55 20.0 40.0
My car gets N_00 miles per gallon . How many miles can I drive on N_01 gallons of gas ?,N_00 * N_01,100.0,20.0 5.0
"Joan had N_00 Pokemon cards , and N_01 were torn . Sara bought N_02 of Joan 's Pokemon cards . How many Pokemon cards does Joan have now ?",N_00 - N_02,562.0,695.0 6.0 133.0
"Joan grew N_00 pumpkins , Keith grew N_01 pumpkins , and Alyssa grew N_02 pumpkins . They worked for N_03 days on the farm . How many pumpkins did they grow in all ?",N_00 + N_01 + N_02,79.0,24.0 42.0 13.0 34.0
"On Friday , Sam spent N_00 pennies on ice cream . The next day , Sam spent N_01 dimes on baseball cards . All in all , how much money did Sam spend ?",N_00 * 0.01 + N_01 * 0.1,1.22,2.0 12.0
"Abe 's family moved from the Bahamas to Japan , so they had convert their money into Japanese yen . Their checking account now has N_00 yen and their savings account now has N_01 yen . How many yen do they have ?",N_00 + N_01,9844.0,6359.0 3485.0
"Gwen and her friends were recycling paper for their class . For every N_00 pounds they recycled they earned one point . If Gwen recycled N_01 pounds and her friends recycled N_02 pounds , how many points did they earn ?",( N_01 + N_02 ) / N_00,6.0,3.0 5.0 13.0
There are N_00 walnut trees currently in the park . Park workers will plant N_01 more walnut trees today . How many walnut trees will the park have when the workers are finished ?,N_00 + N_01,77.0,33.0 44.0
Haley was planting vegetables in her garden . She started with N_00 seeds and planted N_01 of them in the big garden and in each of her small gardens put N_02 seeds each . How many small gardens did Haley have ?,( N_00 - N_01 ) / N_02,7.0,56.0 35.0 3.0
"There is N_00 cup of oil in Scarlett 's measuring cup . If Scarlett adds N_01 cup more , how much oil will be in the measuring cup ?",N_00 + N_01,0.8333333333333334,0.16666666666666666 0.6666666666666666
Jason has N_00 blue and N_01 red marbles . Tom has N_02 blue marbles . How many blue marbles do they have in all ?,N_00 + N_02,67.0,43.0 16.0 24.0
"There were N_00 friends playing a video game online when N_01 more players joined the game . If each player had N_02 lives , how many lives did they have total ?",N_02 * ( N_00 + N_01 ),60.0,8.0 2.0 6.0
There are N_00 rulers in the drawer . Tim took N_01 rulers from the drawer . How many rulers are now in the drawer ?,N_00 - N_01,21.0,46.0 25.0
"Joan purchased a basketball game for $ N_00 , and a racing game for $ N_01 . How much did Joan spend on video games ?",N_00 + N_01,9.43,5.2 4.23
"Mike worked N_00 hours , each day , for N_01 days . How many hours did he work in total ?",N_00 * N_01,15.0,3.0 5.0
Paula 's aunt gave her $ N_00 to spend on clothes at the mall . She bought N_01 shirts that cost $ N_02 each and a pair of pants that cost $ N_03 . How much money does Paula have left to buy more clothes ?,N_00 - ( N_01 * N_02 + N_03 ),74.0,109.0 2.0 11.0 13.0
"There school 's baseball team had N_00 new players and N_01 returning players . If the coach put them into groups with N_02 players in each group , how many groups would there be ?",( N_00 + N_01 ) / N_02,2.0,4.0 6.0 5.0
Connie has N_00 marbles . Juan has N_01 more marbles than Connie . How many marbles does Juan have ?,N_00 + N_01,498.0,323.0 175.0
Sandy grew N_00 carrots . Sam grew N_01 carrots . How many carrots did they grow in total ?,N_00 + N_01,9.0,6.0 3.0
"There are N_00 students trying out for the school 's trivia teams . If N_01 of them did n't get picked for the team and the rest were put into N_02 groups , how many students would be in each group ?",( N_00 - N_01 ) / N_02,6.0,65.0 17.0 8.0
"Paige 's team won their dodgeball game and scored N_00 points total . If Paige scored N_01 of the points and everyone else scored N_02 points each , how many players were on her team ?",( N_00 - N_01 ) / N_02,5.0,41.0 11.0 6.0
"To fill an order , the factory dyed N_00 yards of silk green and N_01 yards pink . How many yards of silk did it dye for that order ?",N_00 + N_01,111421.0,61921.0 49500.0
Bobby collects N_00 blocks . Bobby 's father gives Bobby N_01 more . How many blocks does Bobby have ?,N_00 + N_01,8.0,2.0 6.0
A pet store had N_00 puppies . In one day they sold N_01 of them and put the rest into cages with N_02 in each cage . How many cages did they use ?,( N_00 - N_01 ) / N_02,5.0,81.0 41.0 8.0
Bobby has N_00 books . Kristi has N_01 books . How many more books does Bobby have than Kristi ?,N_00 - N_01,64.0,142.0 78.0
"Eric has N_00 erasers . If he shares them among N_01 friends , how many erasers does each friend get ?",N_00 / N_01,94.0,9306.0 99.0
"Haley and her friends were recycling paper for their class . For every N_00 pounds they recycled they earned one point . If Haley recycled N_01 pounds and her friends recycled N_02 pounds , how many points did they earn ?",( N_01 + N_02 ) / N_00,9.0,3.0 11.0 16.0
"Joan bought toy cars for $ N_00 , a skateboard for $ N_01 , and got toy trucks for $ N_02 . She spent $ N_03 on pants . In total , how much did Joan spend on toys ?",N_00 + N_01 + N_02,25.62,14.88 4.88 5.86 14.55
"Haley baked N_00 cupcakes for her school 's bake sale . If her brother , Todd , ate N_01 of them how many packages could she make if she put N_02 cupcake in each package ?",( N_00 - N_01 ) / N_02,3.0,20.0 11.0 3.0
"Sue ’ s mother made N_00 cookies . She put the cookies in bags , with N_01 cookies in each bag . How many bags could she fill up ?",N_00 / N_01,25.0,75.0 3.0
Benny picked N_00 apples and Dan picked N_01 apples from the apple tree . How many apples were picked in total ?,N_00 + N_01,11.0,2.0 9.0
"There school 's baseball team had N_00 new players and N_01 returning players . If the coach put them into groups with N_02 players in each group , how many groups would there be ?",( N_00 + N_01 ) / N_02,2.0,2.0 6.0 4.0
Mika had N_00 stickers . She bought N_01 stickers from a store in the mall and got N_02 stickers for her birthday . Then Mika gave N_03 of the stickers to her sister and used N_04 to decorate a greeting card . How many stickers does Mika have left ?,N_00 + N_01 + N_00 - ( N_03 + N_04 ),2.0,20.0 26.0 20.0 6.0 58.0
Beka flew N_00 miles to visit her aunt . Jackson flew N_01 miles to visit his aunt . How many more miles did Beka fly than Jackson ?,N_00 - N_01,310.0,873.0 563.0
"Each chocolate bar in a box cost $ N_00 . If a box had N_01 bars total and Rachel sold all but N_02 bars , how much money would she have made ?",N_00 * ( N_01 - N_02 ),18.0,2.0 13.0 4.0
"Kaleb had N_00 pieces of clothing to wash . He put N_01 of them in one load , but decided to split the rest into N_02 equal loads . How many pieces of clothing could go in each of the small loads ?",( N_00 - N_01 ) / N_02,4.0,39.0 19.0 5.0
It took Katherine N_00 hours to run to Louis 's house at N_01 miles per hour . How far is it between Katherine 's house and Louis 's house ?,N_00 * N_01,24.0,3.0 8.0
"George had N_00 socks . If he threw away N_01 old ones that did n't fit and bought N_02 new ones , how many socks would he have ?",N_00 + N_02 - N_01,60.0,28.0 4.0 36.0
"One stamp costs N_00 cents . If the cost of each stamp remains the same , how much would N_01 stamps cost ?",N_00 * N_01,134.0,34.0 4.0
Norma has N_00 cards . She loses N_01 . How many cards will Norma have ?,N_00 - N_01,18.0,88.0 70.0
"Debby had N_00 coloring books . If she gave away N_01 of them , but then bought N_02 more , how many would she have total ?",N_00 + N_02 - N_01,58.0,30.0 7.0 35.0
For Halloween Emily received N_00 pieces of candy . She ate N_01 pieces then placed the rest into piles with N_02 in each pile . How many piles could she make ?,( N_00 - N_01 ) / N_02,3.0,54.0 33.0 7.0
William has N_00 bottle caps . He buys N_01 more . How many bottle caps does William have in all ?,N_00 + N_01,43.0,2.0 41.0
"Tom had to wash N_00 short sleeve shirts and N_01 long sleeve shirts before school . If he had only washed N_02 of them by the time school started , how many did he not wash ?",N_00 + N_01 - N_02,30.0,10.0 25.0 5.0
"There are N_00 students trying out for the school 's trivia teams . If N_01 of them did n't get picked for the team and the rest were put into N_02 groups , how many students would be in each group ?",( N_00 - N_01 ) / N_02,6.0,58.0 10.0 8.0
"Robin 's class is going on a field trip to the zoo . If each van can hold N_00 people and there are N_01 students and N_02 adults going , how many vans will they need ?",( N_01 + N_02 ) / N_00,3.0,8.0 22.0 2.0
The Silvergrove Public Library used a grant to purchase N_00 books . Now the library has a total of N_01 books . How many books did the library have before the grant ?,N_01 - N_00,5935.0,2647.0 8582.0
A pet supply store has N_00 bags of dog food and N_01 bags of cat food . How many more bags of dog food are there than cat food ?,N_00 - N_01,273.0,600.0 327.0
"A worksheet had N_00 problems on it . If a teacher had N_01 worksheets to grade and had already graded N_02 of them , how many more problems does she have to grade ?",N_00 * ( N_01 - N_02 ),24.0,3.0 15.0 7.0
In fourth grade there were N_00 students at the start of the year . During the year N_01 students left and N_02 new students came to school . How many students were in fourth grade at the end ?,N_00 + N_02 - N_01,37.0,31.0 5.0 11.0
A pet store had N_00 puppies . In one day they sold N_01 of them and put the rest into cages with N_02 in each cage . How many cages did they use ?,( N_00 - N_01 ) / N_02,9.0,102.0 21.0 9.0
"Fred found N_00 seashells on the beach , he gave Jessica N_01 of the seashells . How many seashells does he now have ?",N_00 - N_01,22.0,47.0 25.0
Mrs. Hilt uses N_00 ounces of detergent to wash a pound of clothes . How many ounces of soap will she use to wash N_01 pounds of clothes ?,N_00 * N_01,18.0,2.0 9.0
Tom was at the beach for N_00 days and found N_01 seashells every day . How many seashells did Tom find during the beach trip ?,N_00 * N_01,35.0,5.0 7.0
"Sam was collecting cans for recycling . On Saturday he filled N_00 bags up and on Sunday he filled N_01 more bags . If each bag had N_02 cans in it , how many cans did he pick up total ?",N_02 * ( N_00 + N_01 ),42.0,4.0 3.0 6.0
Mark sprinted N_00 miles at N_01 miles per hour . How long did Mark sprint ?,N_00 / N_01,4.0,24.0 6.0
Tim has N_00 books . Mike has N_01 books . How many books do they have together ?,N_00 + N_01,42.0,22.0 20.0
"Clarence has N_00 oranges . He gets N_01 more from Joyce . Later , Clarence buys N_02 Skittles at the store . How many oranges does Clarence have in all ?",N_00 + N_01,8.0,5.0 3.0 9.0
"Students at Arcadia schools are participating in a coat drive . N_00 coats have been collected so far . N_01 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?",N_00 - N_01,2515.0,9437.0 6922.0
"Oliver had N_00 dollars in January . By March he had spent N_01 dollars . If he got another N_02 dollars from his mom , how much money would he have ?",N_00 + N_02 - N_01,61.0,33.0 4.0 32.0
"Faye was selling her necklaces at a garage sale . She sold N_00 bead necklaces and N_01 gem stone necklaces . If each necklace cost N_02 dollars , how much money did she earn ?",N_01 * ( N_00 + N_01 ),70.0,3.0 7.0 7.0
"Paul was collecting cans for recycling . On Saturday he filled N_00 bags up and on Sunday he filled N_01 more bags . If each bag had N_02 cans in it , how many cans did he pick up total ?",N_02 * ( N_00 + N_01 ),72.0,6.0 3.0 8.0
"The cafeteria had N_00 apples . For lunch they handed out N_01 to students and decided to use the rest to make pies . If each pie takes N_02 apples , how many pies could they make ?",( N_00 - N_01 ) / N_02,5.0,47.0 27.0 4.0
"Zoe had N_00 bottles of water in her fridge . If she drank N_01 of them and then bought N_02 more , how many bottles would she have ?",N_00 + N_02 - N_01,47.0,42.0 25.0 30.0
Carolyn starts with N_00 marbles and N_01 oranges . She shares N_02 with Diana . How many marbles does Carolyn end with ?,N_00 - N_02,5.0,47.0 6.0 42.0
"N_00 evening , a restaurant served a total of N_01 loaf of wheat bread and N_02 loaf of white bread . How many loaves were served in all ?",N_01 + N_02,0.6,1.0 0.2 0.4
"Janet was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,70.0,47.0 23.0 46.0
"On a hot day , Sam poured N_00 bucket of water into a plastic wading pool . A few minutes later he added another N_01 buckets . How much water did Sam pour into the pool ?",N_00 + N_01,9.8,1.0 8.8
Clarence has N_00 tickets . He gives N_01 to Eugene . How many tickets will Clarence have ?,N_00 - N_01,92.0,99.0 7.0
"Paige had N_00 songs on her mp3 player . If she deleted N_01 old songs from it and then added N_02 new songs , how many songs does she have on her mp3 player ?",N_00 + N_02 - N_01,33.0,8.0 5.0 30.0
"A waiter had N_00 tables he was waiting on , with N_01 women and N_02 men at each table . How many customers total did the waiter have ?",N_00 * ( N_01 + N_02 ),63.0,9.0 4.0 3.0
"Gloria has N_00 pencils . Lisa has N_01 pencils . If Lisa gives all of her pencils to Gloria , how many pencils will Gloria have ?",N_00 + N_01,101.0,2.0 99.0
A recipe calls for N_00 cup of diced green pepper . Give the number of cups of diced green pepper that should be used to make N_01 of this recipe .,N_00 * N_01,0.3333,0.6667 0.5
